p_fecha,p_estacion,p_patente,p_monto,p_litros,p_odometro,p_guia
01/03/2026 07:27,Av.A.Leon Bustos 0825,SWJR17,-29450,-33.812,66737,40969540
01/03/2026 08:28,Av.Espana / Yolanda,SWJK89,-19000,-21.790,42370,40962605
01/03/2026 08:32,AUTOSERVICIO - Llona / Reyes,TJVJ88,-43638,-51.582,46412,40982175
01/03/2026 09:00,18 Oriente 400,TWHS87,-42750,-49.195,76031,40883353
01/03/2026 11:43,Av. Américo Vespucio 5542,TRCG73,-39852,-45.912,23308,40988442
01/03/2026 12:09,Av. Pdte. Eduardo Frei Montalva 9200,SWJK81,-23937,-27.997,63909,41133874
01/03/2026 13:42,Santa Rosa 2700,RRLF29,-19000,-21.889,55465,40823312
01/03/2026 15:00,Av. Macul 2675,SWJK96,-19000,-21.889,54510,40913529
01/03/2026 15:42,AUTOSERVICIO Avda. Americo Vespucio 2503 / General Velásquez,SWKY75,-48200,-56.374,39780,40669220
01/03/2026 20:48,Avda. Ramón Freire 1551,SLKG78,-40080,-45.547,90361,40848812
01/03/2026 21:09,O'Higgins / Balmaceda Nº 9,TWHS10,-42750,-46.518,77025,40993303
01/03/2026 21:24,Av.A.Leon Bustos 0825,SRPF31,-28500,-32.722,47330,40969551
02/03/2026 07:29,Av. Barros Luco 1299,SWJP42,-19000,-21.230,62805,40929353
02/03/2026 07:33,Palmira Romano Sur 405/Independencia,SWJP41,-19000,-21.517,39543,40873936
02/03/2026 07:35,Palmira Romano Sur 405/Independencia,SWJP41,-19000,-21.517,39543,40873937
02/03/2026 07:52,Am.Vespucio 2025 (Outlet Maipú),SWJL71,-19950,-23.390,47338,40966656
02/03/2026 08:05,Marga Marga 1672,SWKY26,-29450,-33.240,53787,40947575
02/03/2026 08:13,Freire 880 - El Belloto,SWJP17,-18050,-20.372,42554,40932069
02/03/2026 08:19,"Camino Internacional 2440, Reñaca Alto",RRLD32,-29450,-33.620,60270,40982932
02/03/2026 08:21,Marga Marga 1672,SWKY51,-19000,-21.445,51421,40947576
02/03/2026 08:22,"Camino Internacional 2440, Reñaca Alto",SWJL63,-19000,-21.690,50681,40982933
02/03/2026 08:30,Av.21 De Mayo 1191,RRLC29,-19000,-21.325,64096,40903135
02/03/2026 08:39,18 Oriente 400,SKPS72,-49700,-57.192,120358,40883358
02/03/2026 08:44,Avda. Ramón Freire 1551,SWJR31,-19000,-21.592,58474,40848816
02/03/2026 08:50,Arturo Prat 566,TLYR77,-38000,-41.395,84154,40939965
02/03/2026 08:56,Av. Américo Vespucio 5542,SWKZ33,-19000,-21.890,36682,40988448
02/03/2026 08:58,Dominica 217,SRPD68,-19000,-22.196,53998,40940032
02/03/2026 09:02,Av. Macul 2675,RRLF29,-19000,-21.889,55509,40913534
02/03/2026 09:06,"Ruta 5 Sur Km 239,5",TWJS43,-42750,-48.090,58186,40801231
02/03/2026 09:07,Av. Américo Vespucio 5542,SRPG35,-18050,-20.795,37285,40988449
02/03/2026 09:09,Ruta 5 Sur KM 16.4  ,RRKZ46,-19000,-20.880,36138,40971128
02/03/2026 09:10,"Camino Internacional 2440, Reñaca Alto",SRPF85,-29450,-33.620,34720,40982938
02/03/2026 09:10,Panam. Norte Km.108,SWJR21,-19000,-21.230,55461,41127161
02/03/2026 09:11,Ruta 5 Sur KM 16.4  ,RRKZ46,-17863,-19.630,36138,40971129
02/03/2026 09:14,Av. Américo Vespucio 5542,SLKG77,-19000,-21.889,61459,40988451
02/03/2026 09:16,Av. Américo Vespucio 5542,SLKG77,-19000,-21.889,61459,40988452
02/03/2026 09:20,O'Higgins / Balmaceda Nº 9,VCJZ16,-42750,-46.518,44908,40993309
02/03/2026 09:25,"Ruta 5 Sur Km 239,5",TWHS87,-39380,-44.297,76389,40801233
02/03/2026 09:29,O'Higgins / Balmaceda Nº 9,VGKZ85,-42750,-46.518,21367,40993310
02/03/2026 09:30,Av.Libertad 620,SWJR16,-19000,-21.665,37105,40948179
02/03/2026 09:34,18 Oriente 400,SWJP92,-19000,-21.865,47167,40883362
02/03/2026 09:43,"Camino Internacional 2440, Reñaca Alto",SWJL42,-29450,-33.620,70066,40982947
02/03/2026 09:55,Pdte. Allende / Av. Central,SWJL99,-19950,-22.985,52880,40820950
02/03/2026 09:57,Los Carrera 620,RRKD21,-19000,-21.445,79971,40913180
02/03/2026 09:59,Panam. Sur Km.175 2,SWJK91,-18050,-19.430,34125,40963740
02/03/2026 10:01,FACH Oriente - ACSA,SWJK88,-19000,-21.840,33844,40873731
02/03/2026 10:01,Ruta 68 / Placilla,SWJK69,-18050,-20.327,54060,41101445
02/03/2026 10:04,Bilbao / Tobalaba,SWJL79,-18050,-20.260,29350,40847754
02/03/2026 10:17,Los Carrera 620,KLVS73,-19000,-21.445,55930,40913181
02/03/2026 10:18,"Cam. Internacional 1,350",SRPF24,-19000,-21.690,61000,40836774
02/03/2026 10:23,"Camino Internacional 2440, Reñaca Alto",SRPG17,-18050,-20.605,46024,40982952
02/03/2026 10:37,Autoservicio - Av. Gabriela Mistral 03881,SWKY66,-11737,-13.890,45990,41133121
02/03/2026 10:40,"Camino Internacional 2440, Reñaca Alto",SWKZ41,-19000,-21.690,45685,40982958
02/03/2026 10:42,18 Oriente 400,TWHR91,-42750,-49.195,49791,40883366
02/03/2026 10:51,Ruta 68 / Placilla,SWJL49,-18050,-20.327,56939,41101452
02/03/2026 10:52,"Ruta 5 Sur, km 493",TGBC86,-28943,-23.940,42666,40991764
02/03/2026 11:01,Levarte 853 / Playa Ancha,SWSJ82,-19000,-22.095,35632,40916815
02/03/2026 11:04,Levarte 853 / Playa Ancha,SWSJ82,-19000,-22.095,35632,40916817
02/03/2026 11:20,Av. Macul 2675,VCPG38,-19680,-22.673,14821,40913540
02/03/2026 11:20,Avda. Ramón Freire 1551,SRPF57,-18050,-20.512,55592,40848819
02/03/2026 11:20,Panam. Sur Km.20 (Chena),VCPF23,-19950,-21.925,10313,40848474
02/03/2026 11:23,Panam. Sur Km.20 (Chena),VCPF23,-19950,-21.925,10313,40848475
02/03/2026 12:02,P.De Valdivia /S.Bolivar,SWKY29,-19000,-21.940,40555,41116172
02/03/2026 12:09,Republica de Chile N° 0180,VGKZ83,-42750,-46.620,26982,40910839
02/03/2026 12:35,Av. Valparaiso 2150,SWKZ26,-29450,-33.467,55486,41093892
02/03/2026 12:38,Ruta 68 / Placilla,SRPD94,-18050,-20.327,64159,41101469
02/03/2026 12:42,Av. Barros Luco 1299,SWJP13,-19000,-21.230,27225,40929374
02/03/2026 12:55,18 Oriente 400,SKPV61,-42750,-49.195,90431,40883369
02/03/2026 13:11,Av. Valparaiso 2150,SWJL82,-19000,-21.592,68998,41093893
02/03/2026 13:23,Avda. Matta N° 2342 - Cerro Placeres,SWJK78,-19000,-21.915,39200,40932481
02/03/2026 13:30,Av. Valparaiso 2150,SWSH37,-19000,-21.592,60980,41093895
02/03/2026 13:33,Av. Frei 4380/Miraflores Alto,SRPF37,-19000,-21.567,80880,40190788
02/03/2026 13:41,Ruta 5 Sur KM 16.4  ,RRLG96,-19000,-20.880,48719,40971141
02/03/2026 13:56,Gran Avenida N° 10190,VCPG92,-19950,-23.390,16156,41097456
02/03/2026 14:10,Av. Valparaiso 2150,SWJP94,-19000,-21.592,43648,41093896
02/03/2026 15:15,Av. Adrián N° 035,SWKY53,-19000,-21.840,48342,40806727
02/03/2026 15:20,M.De Velasco /C.Videla,SWJP39,-18050,-20.260,47364,40778551
02/03/2026 15:22,Avda. Curauma Norte N° 2161,SRPF56,-18050,-20.350,50080,41117886
02/03/2026 15:33,C.Antunez /Holanda,SWJL60,-19000,-21.325,27060,40977724
02/03/2026 16:09,Av. Macul 2675,VCCF23,-30090,-34.666,14001,40913543
02/03/2026 16:23,Dr.Meza 1520 /Almte.Linch,VCJZ18,-42750,-48.970,40740,40927331
02/03/2026 17:05,Marga Marga 1672,SRPG20,-22800,-25.735,46105,40947583
02/03/2026 17:16,Aguas Claras 1681,SLKH57,-50150,-56.159,69178,40720179
02/03/2026 17:22,Portugal / Marín,VCPD95,-19950,-22.117,14141,41125334
02/03/2026 17:29,Santa Rosa 2700,SWJL77,-39136,-45.087,40724,40823352
02/03/2026 17:31,18 Oriente 400,SKPS56,-40960,-47.135,137791,40883372
02/03/2026 17:41,Palmira Romano Sur 405/Independencia,SRPD21,-19000,-21.517,76867,40873940
02/03/2026 17:51,Av. Valparaiso 2150,SRPF28,-19000,-21.590,61855,41093897
02/03/2026 17:54,Sta.Rosa 7606 / La Victoria,SWJL75,-19950,-22.750,36056,40982814
02/03/2026 17:59,Encon 53,SRPF36,-19000,-21.325,73578,41118482
02/03/2026 18:02,Ruta 5 Sur Km 184 2,SGXW92,-42993,-46.782,111154,40967689
02/03/2026 18:07,Hermanos Clark 311,SWJR21,-19000,-21.350,55547,40952715
02/03/2026 18:16,Los Carrera 620,SWKZ42,-19000,-21.445,72302,40913184
02/03/2026 18:16,Bilbao / Tobalaba,SRPD31,-19950,-22.392,44431,40847759
02/03/2026 18:36,M.De Velasco /C.Videla,SWJK85,-18050,-20.260,43347,40778558
02/03/2026 18:44,Walker Martinez 1940/Chacón Zamora,VCPH39,-36100,-41.590,7416,41136411
02/03/2026 18:57,Av.21 De Mayo 1191,VCPH21,-40689,-45.667,23400,40903166
